No.	PS Name	Total Voters	ZPC Ballot	Total ZPC Ballots	AP Ballot	Total AP Ballots	Ward Ballot	Total Ward Ballots	Total Ballots
1	1 - 10 NO. NASATRA LP SCHOOL	702	No	0	No	0	No	0	0
2	1 - AMBAGAN PRATHAMIK VIDYALAYA (PUB)	582	Yes	582	No	0	Yes	582	1164
3	1 - AMONI BASTI L.P.SCHOOL	962	Yes	962	No	0	Yes	962	1924
4	1 - NAHARU BASTI LP SCHOOL	612	No	0	Yes	612	Yes	612	1224
5	10 - AMBAGAN GIRLS HIGH SCHOOL	672	Yes	672	No	0	Yes	672	1344
6	10 - AMLAKHI M.E.SCHOOL	1222	Yes	1222	No	0	Yes	1222	2444
7	10 - BAMUNI PRATHAMIK VIDYALAYA	657	No	0	No	0	Yes	657	657
8	10 - RANGALOO LP SCHOOL NATUNGHAR	724	No	0	Yes	724	Yes	724	1448
9	11 - 11 SECONEE PATHAR LP SCHOOL (PUB)	734	No	0	Yes	734	No	0	734
10	11 - KUWARITOL HIGH SCHOOL (PUB)	647	No	0	Yes	647	Yes	647	1294
11	11 - MISSA L.P.SCHOOL (EAST)	835	Yes	835	No	0	Yes	835	1670
12	11 - PUB LAILURI L.P SCHOOL (PUB)	706	Yes	706	Yes	706	Yes	706	2118
13	112	0	No	0	No	0	No	0	0
14	12 - KUWARITOL HIGH SCHOOL (PACHIM)	625	No	0	Yes	625	No	0	625
15	12 - MISSA L.P.SCHOOL (WEST)	727	Yes	727	No	0	Yes	727	1454
16	12 - PUB LAILURI L.P SCHOOL (PACHIM)	549	Yes	549	Yes	549	Yes	549	1647
17	12 - SECONEE PATHAR LP SCHOOL (PACHIM)	659	No	0	Yes	659	Yes	659	1318
18	13 - 116 NO LAILURI MUKTAB SCHOOL	758	Yes	758	Yes	758	Yes	758	2274
19	13 - DIJU BASTI L.P.SCHOOL	1038	Yes	1038	No	0	Yes	1038	2076
20	13 - LAMBUDAR BARUA BAGHJAN LP SCHOOL	1036	No	0	No	0	No	0	0
21	13 - SARDAR BALLAB BHAI PATEL MV SCHOOL (PACHIM)	470	No	0	Yes	470	Yes	470	940
22	139	0	No	0	No	0	No	0	0
23	14 - AMALAKHI M.E.SCHOOL	412	Yes	412	No	0	Yes	412	824
24	14 - BANKATESWAR LP SCHOOL	633	No	0	No	0	Yes	633	633
25	14 - DAKHIN LAILURI MUKTAB SCHOOL (PACHIM)	759	Yes	759	Yes	759	Yes	759	2277
26	14 - SARDAR BALLAB BHAI PATEL MV SCHOOL (PUB)	415	No	0	Yes	415	Yes	415	830
27	15 - BANKATESWAR LP SCHOOL (KA)	662	No	0	No	0	Yes	662	662
28	15 - DAKHIN LAILURI MUKTAB SCHOOL (PUB)	698	Yes	698	Yes	698	Yes	698	2094
29	15 - DARIGOJI LP SCHOOL	695	No	0	Yes	695	Yes	695	1390
30	15 - SARIYAHBARI PRATHAMIK VIDYALAYA	1050	Yes	1050	No	0	Yes	1050	2100
31	16 - GARUBANDHA LP SCHOOL (KA)	974	No	0	No	0	Yes	974	974
32	16 - HATIGAON LP SCHOOL	1184	No	0	Yes	1184	Yes	1184	2368
33	16 - LAILURI HIGH SCHOOL (PACHIM) (1)	880	Yes	880	Yes	880	Yes	880	2640
34	16 - SONAJURI LP SCHOOL	1062	Yes	1062	No	0	Yes	1062	2124
35	17 - GARUBANDHA LP SCHOOL	1094	No	0	No	0	Yes	1094	1094
36	17 - KASTURBA ASHRAM SARKARI PRATHAMIK VIDYALAYA	706	No	0	Yes	706	Yes	706	1412
37	17 - LAILURI HIGH SCHOOL (PUB) (2)	884	Yes	884	Yes	884	Yes	884	2652
38	17 - SONAJURI LP SCHOOL (KHA)	904	Yes	904	No	0	Yes	904	1808
39	18 - 116 NO. LAILURI MUKTAB (PACHIM)	1372	Yes	1372	Yes	1372	Yes	1372	4116
40	18 - BUDHIMAN NAOPANI CHETRY LP SCHOOL	1086	No	0	Yes	1086	Yes	1086	2172
41	18 - JAKHALABANDHA LP SCHOOL (PUB)	1237	No	0	No	0	Yes	1237	1237
42	18 - REKA PAHAR PRATHAMIK VIDYALAYA	1338	Yes	1338	No	0	Yes	1338	2676
43	19 - JAKHALABANDHA HIGH SCHOOL (PUB)	777	No	0	No	0	No	0	0
44	19 - PACHIM KALIABOR LP SCHOOL (PUB)	876	No	0	Yes	876	No	0	876
45	19 - PUB LARIMUKH L.P SCHOOL (GAFUR MORAL LP SCHOOL)	1125	Yes	1125	Yes	1125	Yes	1125	3375
46	19 - SONAJURI LP SCHOOL (KA)	1005	Yes	1005	No	0	Yes	1005	2010
47	2 - AMBAGAN PRATHAMIK VIDYALAYA (PACHIM)	612	Yes	612	No	0	Yes	612	1224
48	2 - BURAPAHAR ME SCHOOL	606	No	0	Yes	606	Yes	606	1212
49	2 - RASARAM LP SCHOOL	647	No	0	No	0	Yes	647	647
50	2 - SIALEKHAITY L.P.SCHOOL (A)	733	Yes	733	No	0	Yes	733	1466
51	20 - GYAN JYOTI PRIMARY SCHOOL LANGKHANG	1031	Yes	1031	No	0	Yes	1031	2062
52	20 - JAKHALABANDHA HIGH SCHOOL (PACHIM)	848	No	0	No	0	No	0	0
53	20 - MADYA PUB LARIMUKH LP SCHOOL	1338	Yes	1338	Yes	1338	Yes	1338	4014
54	20 - PACHIM KALIABOR MV SCHOOL (PACHIM)	890	No	0	Yes	890	Yes	890	1780
55	21 - ANJUKPANI CHAH BAGAN LP SCHOOL (PUB)	569	Yes	569	No	0	Yes	569	1138
56	21 - JAKHALABANDHA HIGH SCHOOL (MADHYA)	597	No	0	No	0	Yes	597	597
57	21 - PUB LARIRMUKH SENIOR MADRASA (PACHIM)	905	Yes	905	Yes	905	Yes	905	2715
58	21 - SAMDHORA LP SCHOOL (PUB)	738	No	0	No	0	No	0	0
59	22 - 22 NO- KHAMKHOWA PRATHAMIK VIDYALAYA (PUB)	885	Yes	885	Yes	885	Yes	885	2655
60	22 - ANJUKPANI CHAH BAGAN LP SCHOOL (PACHIM)	472	Yes	472	No	0	Yes	472	944
61	22 - JAKHALABANDHA LP SCHOOL (PACHIM)	893	No	0	No	0	Yes	893	893
62	22 - SAMDHORA LP SCHOOL (PUB) (KA)	678	No	0	No	0	No	0	0
63	23 - 23 NO KHAMKHOWA PRATHAMIK VIDYALAYA (PACHIM)	1119	Yes	1119	Yes	1119	Yes	1119	3357
64	23 - ANJUKPANI BABU CLUB	240	Yes	240	No	0	Yes	240	480
65	23 - BAGURI LP SCHOOL	1023	No	0	No	0	Yes	1023	1023
66	23 - DEWRI CHILABANDHA MV SCHOOL (PACHIM)	682	No	0	No	0	Yes	682	682
67	24 - DEJOVELLY BAGAN MAJDUR CLUB	817	Yes	817	No	0	Yes	817	1634
